Bonus #,Winning Numbers,Draw Date,Extra #
30,01 22 24 27 37 51,05/02/2020,
49,06 08 19 32 33 44,04/29/2020,
26,15 27 29 49 50 56,04/25/2020,
17,12 18 25 28 32 51,04/22/2020,
59,01 19 29 36 45 56,04/18/2020,
2,20 33 34 39 40 53,04/15/2020,
21,06 11 14 33 44 52,04/11/2020,
47,04 19 31 34 39 51,04/08/2020,
54,33 42 46 48 50 55,04/04/2020,
52,06 10 35 44 49 53,04/01/2020,
20,11 12 32 41 43 59,03/28/2020,
5,03 12 29 38 51 59,03/25/2020,
25,06 15 18 34 42 58,03/21/2020,
37,01 14 15 33 38 49,03/18/2020,
15,08 09 16 46 53 54,03/14/2020,
50,05 23 26 34 49 58,03/11/2020,
36,07 11 18 39 42 43,03/07/2020,
6,19 34 37 39 54 59,03/04/2020,
21,03 04 20 28 31 49,02/29/2020,
24,04 09 13 15 53 57,02/26/2020,
33,02 08 09 48 57 59,02/22/2020,
15,06 18 22 25 54 57,02/19/2020,
32,02 07 38 41 45 59,02/15/2020,
15,05 24 28 42 44 57,02/12/2020,
5,10 29 32 33 34 36,02/08/2020,
36,06 15 32 33 42 49,02/05/2020,
32,10 16 36 38 42 55,02/01/2020,
27,09 15 17 37 52 53,01/29/2020,
25,05 21 23 29 36 44,01/25/2020,
57,01 15 36 41 44 50,01/22/2020,
42,07 11 17 25 41 54,01/18/2020,
33,03 04 22 26 37 38,01/15/2020,
45,08 10 17 18 30 46,01/11/2020,
17,07 26 37 47 48 49,01/08/2020,
5,06 10 16 30 33 55,01/04/2020,
46,13 14 28 50 51 56,01/01/2020,
46,13 14 23 31 35 41,12/28/2019,
16,07 10 31 32 34 42,12/25/2019,
30,24 28 39 42 48 52,12/21/2019,
29,14 21 24 37 45 46,12/18/2019,
39,14 21 36 38 42 56,12/14/2019,
59,19 24 25 29 36 38,12/11/2019,
39,01 14 19 20 29 38,12/07/2019,
39,03 04 10 16 27 44,12/04/2019,
37,14 30 39 51 52 53,11/30/2019,
22,18 31 32 40 43 53,11/27/2019,
54,01 08 10 24 32 36,11/23/2019,
58,03 04 05 26 36 48,11/20/2019,
1,31 34 35 47 48 56,11/16/2019,
39,04 19 20 28 56 58,11/13/2019,
3,04 09 16 32 42 44,11/09/2019,
21,04 05 12 43 44 59,11/06/2019,
52,23 31 38 46 48 49,11/02/2019,
26,24 29 39 47 52 53,10/30/2019,
6,01 12 19 31 41 47,10/26/2019,
24,07 10 12 40 49 58,10/23/2019,
20,06 15 21 37 55 59,10/19/2019,
35,02 07 09 11 40 54,10/16/2019,
59,13 15 27 30 46 51,10/12/2019,
7,08 14 18 26 33 38,10/09/2019,
24,09 22 32 45 54 59,10/05/2019,
26,03 17 21 23 27 43,10/02/2019,
9,01 13 29 38 46 59,09/28/2019,
45,07 24 27 38 55 58,09/25/2019,
32,04 10 21 28 30 43,09/21/2019,
10,08 18 21 23 29 56,09/18/2019,
52,01 09 14 22 24 25,09/14/2019,
26,02 09 10 35 58 59,09/11/2019,
15,19 31 44 47 48 55,09/07/2019,
10,08 20 37 51 53 59,09/04/2019,
50,02 11 29 30 43 44,08/31/2019,
25,01 05 06 07 16 48,08/28/2019,
3,07 24 36 46 52 55,08/24/2019,
42,08 11 34 41 50 54,08/21/2019,
44,25 31 34 42 49 53,08/17/2019,
21,01 02 33 38 48 55,08/14/2019,
23,07 16 25 39 47 51,08/10/2019,
26,03 12 27 40 48 57,08/07/2019,
16,02 18 21 39 53 58,08/03/2019,
33,02 07 20 23 26 47,07/31/2019,
35,05 07 19 25 26 47,07/27/2019,
52,14 21 22 27 44 48,07/24/2019,
31,12 15 30 32 51 58,07/20/2019,
6,04 07 19 34 36 59,07/17/2019,
6,09 12 14 21 44 55,07/13/2019,
9,04 08 24 26 38 43,07/10/2019,
42,04 05 27 31 43 47,07/06/2019,
25,27 31 37 48 49 54,07/03/2019,
51,02 03 14 20 29 37,06/29/2019,
12,06 15 25 28 36 49,06/26/2019,
55,12 42 46 51 53 57,06/22/2019,
38,14 23 24 50 56 58,06/19/2019,
52,03 14 20 21 24 34,06/15/2019,
58,17 21 22 32 37 41,06/12/2019,
57,05 06 14 37 47 52,06/08/2019,
45,08 18 28 31 36 54,06/05/2019,
29,01 10 13 23 31 32,06/01/2019,
52,06 12 15 24 31 42,05/29/2019,
16,15 22 24 42 50 53,05/25/2019,
21,06 18 36 54 55 57,05/22/2019,
52,18 21 23 46 54 59,05/18/2019,
33,06 16 17 26 29 48,05/15/2019,
16,04 26 31 38 39 49,05/11/2019,
41,03 07 14 28 49 54,05/08/2019,
13,08 19 50 51 52 55,05/04/2019,
11,08 09 24 27 36 37,05/01/2019,
13,31 33 48 52 55 59,04/27/2019,
1,02 28 37 43 46 49,04/24/2019,
33,02 10 16 17 47 58,04/20/2019,
28,02 03 18 30 52 53,04/17/2019,
34,12 20 35 39 50 53,04/13/2019,
50,04 07 31 39 47 51,04/10/2019,
5,06 09 16 20 26 41,04/06/2019,
9,04 21 31 34 43 44,04/03/2019,
12,18 25 43 51 52 56,03/30/2019,
27,34 36 38 40 41 55,03/27/2019,
45,07 18 19 33 36 57,03/23/2019,
39,04 06 08 12 15 55,03/20/2019,
22,01 04 27 40 44 58,03/16/2019,
57,11 15 29 38 52 54,03/13/2019,
24,17 20 21 43 46 52,03/09/2019,
21,05 08 11 14 32 36,03/06/2019,
53,06 10 15 50 52 56,03/02/2019,
24,12 18 22 36 41 48,02/27/2019,
52,10 20 33 40 54 56,02/23/2019,
20,16 25 29 32 50 59,02/20/2019,
9,02 04 39 46 51 58,02/16/2019,
7,03 10 17 36 50 57,02/13/2019,
20,03 09 12 23 36 53,02/09/2019,
22,24 26 33 35 37 52,02/06/2019,
44,20 30 39 45 46 53,02/02/2019,
